Name,M1,M2,M3,Support,Temperature,Ar_flow,CH4_flow,O2_flow,C2y
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,6,7.2,1.8,12.63844927
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,7,2.4,0.6,12.56711531
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,3,13.6,3.4,12.44486163
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,10.5,3.857142857,0.642857143,12.21240458
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,3,14.57142857,2.428571429,12.21134411
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,6,7.714285714,1.285714286,11.75121882
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,8,8,4,11.40312522
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,2.25,10.92857143,1.821428571,11.12305088
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,2.25,10.2,2.55,10.77429065
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,7,2.571428571,0.428571429,10.61055554
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,4,4.8,1.2,10.17637472
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,6,6,3,9.832695152
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,4,5.142857143,0.857142857,9.688258843
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,1.5,7.285714286,1.214285714,8.815300327
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,900,14,4.8,1.2,8.591086576
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,3,11.33333333,5.666666667,8.450010641
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,850,1.5,6.8,1.7,8.312846734
Ba-Ba-Ba-La2O3,Ba,Ba,Ba,La2O3,800,14,4.8,1.2,8.167611199
